email_id,subject,body,email_category,urgency_ground_truth,loan_id_ground_truth,route_queue_ground_truth,product_ground_truth,expected_action_ground_truth
LN-001,Approved loan LP002305 — when do funds arrive?,"Hi, I got the approval email for loan LP002305 last week. Can you confirm when the funds will actually be disbursed to my account?",status_inquiry,low,LP002305,status_queue,business_loan,cite_stage_and_sla
LN-002,Confirming approval on LP001318,"This is regarding my education loan LP001318. I want to confirm it's really approved and ask when my repayment schedule starts.",status_inquiry,low,LP001318,status_queue,education_loan,cite_stage_and_sla
LN-003,Why is my rate higher than my neighbor's? LP001715,"My home loan application LP001715 is still under review. A neighbor in the city got a better rate than what I was quoted for my rural property. Is there some surcharge for rural properties?",rate_query,medium,LP001715,underwriting_review_queue,home_loan,cite_property_area_surcharge_LOAN-HOME-010
LN-004,Status check on LP001493,"Just checking in on my loan application LP001493, it has been a while and I haven't heard anything.",status_inquiry,low,LP001493,status_queue,gold_loan,cite_stage_no_policy_lookup_needed
LN-005,What are your approval criteria? LP002448,"My application LP002448 is under review. Could you tell me your exact underwriting criteria so I understand my chances of approval?",rate_query,medium,LP002448,underwriting_review_queue,gold_loan,escalate_no_policy_gold_loan
LN-006,Rejected — requesting appeal for LP002086,"My education loan LP002086 was rejected. I don't understand why and I'd like to appeal the decision.",rejection_appeal,high,LP002086,appeals_queue,education_loan,cite_rejection_and_no_appeal_window_documented_education_loan
LN-007,Appeal request for LP001849,"I was rejected for business loan LP001849. My business has been running for years, please explain why and let me know if I can appeal.",rejection_appeal,high,LP001849,appeals_queue,business_loan,cite_rejection_reason_and_appeal_window_LOAN-BUSINESS-030
LN-008,"I have good credit, why was LP001577 rejected?","I have a clean credit history and was still rejected for business loan LP001577. This doesn't make sense, please explain.",rejection_appeal,high,LP001577,appeals_queue,business_loan,cite_rejection_reason_and_appeal_window_LOAN-BUSINESS-030
LN-009,Rejected home loan LP002113 — need reason,"My home loan LP002113 was rejected. Please tell me exactly why and what I need to fix before reapplying.",rejection_appeal,high,LP002113,appeals_queue,home_loan,cite_rejection_reason_LOAN-HOME-010_note_missing_data
LN-010,Sent my tax filings for LP001136 — what else?,"I already emailed over my last two years of business tax filings for loan LP001136. Is there anything else outstanding before you can finish processing it?",document_submission,medium,LP001136,documentation_queue,business_loan,list_missing_documents_LOAN-BUSINESS-030
LN-011,Which documents are still needed for LP002209?,"Following up on my home loan LP002209 -- which documents are still pending on your end?",document_submission,medium,LP002209,documentation_queue,home_loan,list_missing_documents_LOAN-HOME-010
LN-012,Any update on LP001091?,"Checking in on my loan application LP001091, it's been flagged for some kind of extra review and nobody has told me why.",fraud_escalation,high,LP001091,fraud_review_queue,gold_loan,escalate_fraud_review_no_auto_reply
